name,sport,nationality,continent,year,event,feat,genre,image_name
Margaret Abbott,Golf,Etats-Unis,Amerique du Nord,1900,individuel,Titre; participation,Feminin,margaret_abbott.jpeg
Mary Abbott,Golf,Etats-Unis,Amerique du Nord,1900,individuel,Participation,Feminin,mary_abbott.jpg
Jeanne Froment-Meurice,Golf,France,Europe,1900,individuel,Participation,Feminin,paris_1900_golf_two_competitors_next_to_the_same_hole.jpg
Lucile De Fain,Golf,France,Europe,1900,individuel,Participation,Feminin,lucile_de_fain.jpg
Madeleine Fournier-Sarlovèze,Golf,France,Europe,1900,individuel,Participation,Feminin,paris_1900_golf_two_competitors_next_to_the_same_hole.jpg
Marie Brun,Golf,France,Europe,1900,individuel,Participation,Feminin,paris_1900_golf_two_competitors_next_to_the_same_hole.jpg
Rose Gelbert,Golf,France,Europe,1900,individuel,Participation,Feminin,paris_1900_golf_two_competitors_next_to_the_same_hole.jpg
Asheilgh Simon,Golf,Afrique du Sud,Afrique,2016,individuel,Participation,Feminin,ashleigh_simon.jpg
Paula Reto,Golf,Afrique du Sud,Afrique,2016,individuel,Participation,Feminin,paula_reto.jpg
Maha Haddidioui,Golf,Maroc,Afrique,2016,individuel,Participation,Feminin,maha_haddidioui.jpg
Alena Sharp,Golf,Canada,Amerique du Nord,2016,individuel,Participation,Feminin,alena_sharp.jpg
Brooke Henderson,Golf,Canada,Amerique du Nord,2016,individuel,Participation,Feminin,brooke_henderson.jpg
Miriam Nagi,Golf,Brésil,Amérique du Sud,2016,individuel,Participation,Feminin,miriam_nagi.jpg
Victoria Lovelady,Golf,Brésil,Amérique du Sud,2016,individuel,Participation,Feminin,victoria_lovelady.jpg
Mariajo Uribe,Golf,Colombie,Amérique du Sud,2016,individuel,Participation,Feminin,mariajo_uribe.jpg
Alejandra Llaneza,Golf,Mexique,Amérique du Nord,2016,individuel,Participation,Feminin,alejandra_llaneza.jpg
Gaby Lopez,Golf,Mexique,Amérique du Nord,2016,individuel,Participation,Feminin,gaby_lopez.jpg
Julieta Granada,Golf,Paraguay,Amérique du Sud,2016,individuel,Participation,Feminin,julieta_granada.jpg
Shanshan Feng,Golf,Chine,Asie,2016,individuel,Médaille,Feminin,shanshan_feng.jpg
Inbee Park,Golf,Corée du Sud,Asie,2016,individuel,Titre,Feminin,inbee_park.jpg
Tiffany Chan,Golf,Hong Kong,Asie,2016,individuel,Participation,Feminin,tiffany_chan.jpg
Aditi Ashok,Golf,Inde,Asie,2016,individuel,Participation,Feminin,aditi_ashok.jpg
Laetitia Beck,Golf,Israël,Asie,2016,individuel,Participation,Feminin,laetitia_beck.png
Haru Nomura,Golf,Japon,Asie,2016,individuel,Participation,Feminin,haru_nomura.jpg
Shiho Oyama,Golf,Japon,Asie,2016,individuel,Participation,Feminin,shiho_oyama.jpg
Kelly Tan,Golf,Malaisie,Asie,2016,individuel,Participation,Feminin,kelly_tan.jpg
Michelle Koh,Golf,Malaisie,Asie,2016,individuel,Participation,Feminin,michelle_koh.jpg
Candie Kung,Golf,Taiwan,Asie,2016,individuel,Participation,Feminin,candie_kung.jpg
Teresa Lu,Golf,Taiwan,Asie,2016,individuel,Participation,Feminin,teresa_lu.jpg
Ariya Jutanugarn,Golf,Thaïlande,Asie,2016,individuel,Participation,Feminin,ariya_jutanugarn.jpg
Pornanong Phatlum,Golf,Thaïlande,Asie,2016,individuel,Participation,Feminin,pornanong_phatlum.jpg
Caroline Masson,Golf,Allemagne,Europe,2016,individuel,Participation,Feminin,caroline_masson.jpg
Sandra Gal,Golf,Allemagne,Europe,2016,individuel,Participation,Feminin,sandra_gal.jpg
Christine Wolf,Golf,Autriche,Europe,2016,individuel,Participation,Feminin,Christine_Wolf.jpg
Chloe Leurquin,Golf,Belgique,Europe,2016,individuel,Participation,Feminin,Chloe_Leurquin.jpg
Nanna Koerstz Madsen,Golf,Danemark,Europe,2016,individuel,Participation,Feminin,Nanna_Koerstz_Madsen.jpg
Nicole Broch Larsesn,Golf,Danemark,Europe,2016,individuel,Participation,Feminin,Nicole_Broch_Larsen.jpg
Azahara Munoz,Golf,Espagne,Europe,2016,individuel,Participation,Feminin,AzaharaMunoz.jpg
Carlota Ciganda,Golf,Espagne,Europe,2016,individuel,Participation,Feminin,Carlota_Ciganda.jpg
Noora Tamminen,Golf,Finlande,Europe,2016,individuel,Participation,Feminin,Noora_Tamminen.jpg
Ursula Wikström,Golf,Finlande,Europe,2016,individuel,Participation,Feminin,Ursula_Wikström.jpg
Leona Maguire,Golf,Irlande,Europe,2016,individuel,Participation,Feminin,Stephanie_Meadow.jpg
Stephanie Meadow,Golf,Irlande,Europe,2016,individuel,Participation,Feminin,Leona_Maguire.jpg
Giula Molinaro,Golf,Italie,Europe,2016,individuel,Participation,Feminin,Giulia_Molinaro.jpg
Giulia Sergas,Golf,Italie,Europe,2016,individuel,Participation,Feminin,Giulia_Sergas.jpg
Marianne Skarpnord,Golf,Norvége,Europe,2016,individuel,Participation,Feminin,Marianne_Skarpnord.jpg
Suzann Pettersen,Golf,Norvége,Europe,2016,individuel,Participation,Feminin,Suzann_Pettersen.jpg
Klara Spilkova,Golf,République Tchéque,Europe,2016,individuel,Participation,Feminin,Klara_Spilkova.jpg
Catriona Matthew,Golf,Royaume-Uni,Europe,2016,individuel,Participation,Feminin,Catriona_Matthew.jpg
Charley Hull,Golf,Royaume-Uni,Europe,2016,individuel,Participation,Feminin,Charley_Hull.jpg
Maria Verchenova,Golf,Russie,Europe,2016,individuel,Participation,Feminin,Maria_Verchenova.jpg
Anna Nordqvist,Golf,Suéde,Europe,2016,individuel,Participation,Feminin,Anna_Nordqvist.jpg
Pernilla Lindberg,Golf,Suéde,Europe,2016,individuel,Participation,Feminin,Pernilla_Lindberg.jpg
Albane Valenzuela,Golf,Suisse,Europe,2016,individuel,Participation,Feminin,Albane_Valenzuela.jpg
Fabienne In-Albon,Golf,Suisse,Europe,2016,individuel,Participation,Feminin,Fabienne_In-Albon.jpg
Minjee Lee,Golf,Australie,Océanie,2016,individuel,Participation,Feminin,Minjee_Lee.jpg
Su-Hyun Oh,Golf,Australie,Océanie,2016,individuel,Participation,Feminin,Su-Hyun_Oh.jpg
Lydia Ko,Golf,Nouvelle-Zéalnde,Océanie,2016,individuel,Médaille,Feminin,Lydia_Ko.jpg
Magdalena Simmermacher,Golf,Argentine,Amérique du Sud,2021,individuel,Participation,Feminin,Magdalena_Simmermacher.png
Daniela Darquea,Golf,Equateur,Amérique du Sud,2021,individuel,Participation,Feminin,Daniela_Darquea.jpg
Maria Torres,Golf,Porto Rico,Amérique du Sud,2021,individuel,Participation,Feminin,Maria_Torres.jpg
Bianca Pagdanganan,Golf,Philippines,Asie,2021,individuel,Participation,Feminin,Bianca_Pagdanganan.png
Yuka Saso,Golf,Philippines,Asie,2021,individuel,Participation,Feminin,Yuka_Saso.jpg
Mone Imani,Golf,Japon,Asie,2021,individuel,Médaille,Feminin,Mone_Inami.jpg
Anne Van Dam,Golf,Pays-Bas,Europe,2021,individuel,Participation,Feminin,Anne_Van_Dam.jpeg
